,funded_amnt_inv,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,purpose,total_pymnt,total_rec_prncp,total_rec_int,last_pymnt_amnt,repay_fail
0,0,36,0.0,0.0,0,RENT,0,0,major_purchase,0.0,0.0,0.0,0.0,1
1,2500,36,13.98,85.42,4,RENT,20004,0,other,3075.291779,2500.0,575.29,90.85,0
2,5000,36,15.95,175.67,4,RENT,59000,0,debt_consolidation,2948.76,1909.02,873.81,175.67,1
3,7000,36,9.91,225.58,10,MORTGAGE,53796,0,other,8082.39188,7000.0,1082.39,1550.27,0
4,2000,36,5.42,60.32,10,RENT,30000,0,debt_consolidation,2161.663244,2000.0,161.66,53.12,0
5,3600,36,10.25,116.59,10,MORTGAGE,675048,0,other,4206.031191,3600.0,606.03,146.75,0
7,6000,36,7.49,186.61,3,RENT,35000,0,debt_consolidation,6717.950109,6000.0,717.95,211.41,0
8,25472,60,14.27,599.26,4,RENT,86000,1,debt_consolidation,32840.05674,25600.0,7240.06,16083.78,0
9,19750,60,23.22,559.27,10,MORTGAGE,72500,1,debt_consolidation,27544.89116,19750.0,7794.89,15264.34,0
10,6250,36,17.27,223.68,4,MORTGAGE,28000,1,other,6688.64,4764.18,1713.09,223.68,1
11,8000,36,13.79,272.61,5,RENT,75000,1,credit_card,9813.670737,7999.97,1813.7,276.65,0
12,15000,36,15.23,521.68,7,MORTGAGE,38400,1,small_business,18760.5504,15000.0,3760.55,1570.19,0
13,3225,36,6.54,101.97,4,MORTGAGE,100000,1,debt_consolidation,3671.069608,3325.0,346.07,119.69,0
14,6878,36,16.63,248.29,7,RENT,30996,1,debt_consolidation,7947.009056,7000.0,947.01,5470.42,0
15,10825,60,9.99,231.01,2,MORTGAGE,23500,1,debt_consolidation,13860.45333,10875.0,2985.45,230.86,0
16,8948,36,21.21,340.06,2,MORTGAGE,90000,0,debt_consolidation,10092.85412,9000.0,1092.85,5880.8,0
17,12925,36,11.83,430.75,3,MORTGAGE,107004,0,debt_consolidation,15506.63274,13000.0,2506.63,462.57,0
18,4500,36,11.83,149.11,0,MORTGAGE,12960,0,debt_consolidation,5368.145768,4500.0,868.15,163.7,0
19,7386,36,12.53,351.4,3,RENT,51504,0,credit_card,12667.99707,10499.99,2150.43,361.85,0
20,2000,36,13.61,67.98,1,RENT,26496,0,debt_consolidation,2447.360162,2000.0,447.36,81.77,0
21,7671,36,11.14,262.43,4,MORTGAGE,55000,0,credit_card,9447.75419,8000.0,1447.75,264.34,0
22,14400,36,8.9,457.25,4,RENT,59000,0,credit_card,15337.03068,14400.0,937.03,1305.23,0
23,6000,36,15.99,210.92,1,RENT,45000,0,small_business,7595.32908,6000.0,1595.33,235.93,0
24,4200,36,13.06,141.64,10,MORTGAGE,78000,0,major_purchase,5098.865209,4200.0,898.87,146.81,0
25,3600,36,14.17,123.34,4,RENT,30000,1,other,3684.305325,3600.0,84.31,3561.66,0
26,5000,36,6.0,152.11,10,RENT,34868,1,wedding,5936.962272,5000.0,936.96,2973.62,0
27,6975,36,16.35,247.31,0,RENT,36000,0,other,8616.124601,7000.0,1616.12,3186.4,0
28,2800,36,7.49,87.09,4,RENT,48000,0,other,3135.020847,2800.0,335.02,105.94,0
29,6375,36,15.65,227.41,4,RENT,42500,0,medical,2072.47,1191.48,623.57,227.41,1
30,9280,36,9.63,307.31,2,OWN,56996,1,car,10995.44109,9575.0,1420.44,2407.57,0
31,17075,36,11.99,575.36,1,MORTGAGE,114000,1,credit_card,20712.7521,17325.0,3387.75,576.92,0
32,16000,60,16.49,393.27,4,MORTGAGE,65000,1,debt_consolidation,17933.27852,16000.0,1933.28,223.87,0
33,11750,36,7.29,372.12,10,RENT,68400,1,debt_consolidation,13360.83486,12000.0,1360.83,217.94,0
34,9975,36,6.92,308.41,10,RENT,43337,0,small_business,11103.43382,10000.0,1103.43,315.04,0
35,18000,36,6.62,552.67,2,MORTGAGE,78000,0,debt_consolidation,19895.96,18000.0,1895.96,574.46,0
37,12425,36,18.62,455.81,2,RENT,43560,1,debt_consolidation,15628.43262,12500.0,3128.43,1789.83,0
38,5119,36,14.62,189.64,3,RENT,24000,0,debt_consolidation,6857.360454,5499.98,1327.38,195.09,0
